ID_Cliente,Nome,Idade,Gênero,Email,País,Data_Compra,Produto,Categoria,Quantidade,Preço_Unitário,Forma_Pagamento,Avaliação,Cliente_Frequente
1,João Gabriel Castro,58,Masculino,enrico74@gmail.com,Brasil,2025-02-25,Feijão,Alimentos,2,287.68,Cartão de Crédito,5,Sim
2,Henrique Nascimento,55,Feminino,brenoaragao@ig.com.br,Brasil,2024-10-05,Smartphone,Eletrônicos,2,473.0,Cartão de Crédito,5,Sim
3,Isabel Monteiro,63,Outro,fariasbeatriz@dias.com,Moçambique,2024-06-14,Suspense,Livros,4,1182.64,Cartão de Crédito,2,Não
4,Yuri das Neves,39,Feminino,camposjoaquim@nunes.org,Argentina,2024-11-23,Jaqueta,Roupas,1,194.56,Cartão de Crédito,3,Não
5,Rebeca Melo,56,Feminino,emanuellada-costa@ig.com.br,Brasil,2023-04-12,Romance,Livros,4,166.81,PIX,5,Não
6,Heloísa Pereira,54,Masculino,agatha84@gomes.org,Brasil,2024-01-10,Notebook,Eletrônicos,3,1970.59,Boleto,1,Não
7,Ana Luiza Costa,35,Feminino,marcos-vinicius50@yahoo.com.br,Portugal,2024-06-19,Jaqueta,Roupas,3,426.92,PIX,1,Sim
8,Ana Sophia Monteiro,52,Outro,fnogueira@da.br,Argentina,2024-09-20,Vestido,Roupas,4,547.2,Boleto,3,Sim
9,Pedro Monteiro,32,Masculino,pmonteiro@ig.com.br,Portugal,2024-09-21,Autoajuda,Livros,1,429.86,PIX,2,Não
10,Emilly Moura,43,Outro,eloaholiveira@moura.br,Angola,2023-08-10,Jaqueta,Roupas,2,500.79,PIX,5,Não
11,Laís Silva,55,Feminino,theomartins@uol.com.br,Portugal,2024-01-26,Calça Jeans,Roupas,5,992.1,Cartão de Crédito,1,Sim
12,Joana Castro,58,Masculino,galves@viana.br,Angola,2024-11-23,Liquidificador,Casa,4,769.42,Débito,5,Não
13,Valentina Melo,53,Masculino,joao-pedro84@santos.br,Brasil,2025-02-05,Geladeira,Casa,3,231.99,Débito,2,Não
14,Pedro Henrique da Mata,18,Outro,otavio14@costela.br,Portugal,2024-05-16,Sofá,Casa,5,1826.13,PIX,5,Sim
15,Alana Lima,27,Feminino,pietrosantos@hotmail.com,Argentina,2024-12-13,Liquidificador,Casa,5,655.07,Cartão de Crédito,1,Não
16,Yago Carvalho,69,Feminino,pedro-henriqueda-mata@souza.com,Argentina,2023-10-09,Notebook,Eletrônicos,5,1894.43,Cartão de Crédito,4,Sim
17,Ana Beatriz Duarte,66,Outro,joao-gabriel13@uol.com.br,Argentina,2024-05-26,Vestido,Roupas,5,338.6,Débito,2,Sim
18,Luiz Miguel Teixeira,63,Feminino,cazevedo@ferreira.com,Angola,2024-03-13,Chocolate,Alimentos,5,908.46,Boleto,2,Sim
19,Benício Rocha,39,Masculino,pedro-miguelaragao@ig.com.br,Moçambique,2024-11-08,Sofá,Casa,5,448.23,Cartão de Crédito,1,Sim
20,Dra. Catarina Vieira,22,Masculino,silvaemanuelly@bol.com.br,Portugal,2024-06-29,Notebook,Eletrônicos,3,1341.27,Boleto,5,Sim
21,Dra. Sabrina Monteiro,64,Outro,cauecardoso@gmail.com,Moçambique,2024-07-19,Suspense,Livros,4,1616.92,Boleto,1,Sim
22,Gabriela Fogaça,60,Feminino,oda-costa@ig.com.br,Portugal,2024-05-08,Fantasia,Livros,4,1729.04,Cartão de Crédito,1,Sim
23,Luiz Gustavo Azevedo,43,Outro,barrosleandro@moraes.net,Portugal,2024-04-20,Notebook,Eletrônicos,2,388.52,Débito,2,Não
24,Juan da Costa,29,Feminino,imonteiro@barbosa.com,Angola,2024-08-16,Camiseta,Roupas,4,1617.96,Cartão de Crédito,1,Sim
25,Sofia Gonçalves,23,Masculino,vitor41@bol.com.br,Argentina,2024-04-11,Fantasia,Livros,4,435.36,Débito,1,Sim
26,Isaac Lopes,42,Masculino,martinsana-livia@pires.org,Angola,2025-02-26,Chocolate,Alimentos,3,851.78,Débito,2,Sim
27,Daniela Rezende,36,Masculino,da-luzluiz-henrique@ribeiro.com,Brasil,2023-11-01,Liquidificador,Casa,3,123.76,Débito,5,Sim
28,Ana Oliveira,21,Outro,yagogomes@uol.com.br,Brasil,2023-06-12,Camiseta,Roupas,5,145.24,Boleto,4,Sim
29,Lucca Cavalcanti,54,Masculino,moraesdanilo@castro.com,Moçambique,2024-07-12,Liquidificador,Casa,5,173.15,PIX,3,Sim
30,Olivia Araújo,60,Outro,rodriguesjoao-lucas@bol.com.br,Portugal,2024-10-14,Jaqueta,Roupas,4,270.45,PIX,4,Não
31,Maria Vitória da Conceição,66,Masculino,fernanda49@hotmail.com,Brasil,2023-06-19,Romance,Livros,1,1079.89,PIX,2,Não
32,Srta. Lara Castro,22,Masculino,lunabarros@almeida.br,Portugal,2024-08-12,Feijão,Alimentos,4,1669.15,PIX,5,Sim
33,Matheus Pinto,60,Outro,lucas-gabrielcardoso@da.com,Portugal,2024-06-26,Notebook,Eletrônicos,3,239.7,Cartão de Crédito,5,Sim
34,Augusto Farias,35,Feminino,luiz-henrique78@monteiro.com,Moçambique,2023-11-29,Jaqueta,Roupas,2,1378.12,PIX,5,Não
35,Elisa Rodrigues,34,Masculino,lcampos@ramos.com,Brasil,2024-07-10,Autoajuda,Livros,1,17.06,Boleto,3,Sim
36,Raul da Conceição,65,Feminino,gmendes@uol.com.br,Moçambique,2025-03-21,Romance,Livros,1,159.74,Boleto,5,Sim
37,Sra. Maria Julia Gonçalves,41,Outro,catarinajesus@yahoo.com.br,Moçambique,2023-11-30,Vestido,Roupas,2,93.24,PIX,1,Não
38,Larissa Barbosa,31,Outro,maria-luiza33@almeida.net,Argentina,2024-07-16,Tablet,Eletrônicos,5,1769.43,Débito,5,Sim
39,Emilly Correia,33,Masculino,fgomes@moura.br,Argentina,2024-06-07,Romance,Livros,2,1475.76,PIX,4,Sim
40,Isis Nogueira,35,Masculino,julialima@ig.com.br,Brasil,2024-05-02,Romance,Livros,4,452.64,Débito,3,Não
41,Pedro Melo,70,Masculino,fogacaluana@santos.com,Argentina,2023-07-07,Notebook,Eletrônicos,4,663.24,Cartão de Crédito,3,Não
42,Olivia da Paz,59,Outro,ramosmaria-sophia@da.org,Angola,2024-11-02,Geladeira,Casa,1,239.53,PIX,2,Não
43,Marcos Vinicius Lima,20,Masculino,melodavi-lucca@uol.com.br,Moçambique,2023-07-28,Autoajuda,Livros,3,878.42,Cartão de Crédito,4,Sim
44,Cecília Cunha,34,Masculino,kamilly05@yahoo.com.br,Angola,2023-05-16,Notebook,Eletrônicos,3,868.28,PIX,5,Não
45,Diogo Ribeiro,60,Masculino,vicenteduarte@gmail.com,Portugal,2025-02-27,Geladeira,Casa,4,659.1,PIX,5,Sim
46,Vitória Novaes,30,Feminino,brunorodrigues@da.com,Angola,2025-01-17,Jaqueta,Roupas,4,1100.4,Cartão de Crédito,3,Não
47,Enzo Gabriel Alves,31,Feminino,blopes@silveira.com,Moçambique,2023-06-20,Geladeira,Casa,4,889.15,Boleto,5,Não
48,Dr. Gustavo Pires,68,Outro,jgomes@uol.com.br,Argentina,2025-02-27,Tablet,Eletrônicos,5,1331.07,PIX,1,Sim
49,Danilo Pereira,61,Feminino,sabrina63@das.br,Argentina,2025-03-02,Calça Jeans,Roupas,1,101.97,Débito,5,Sim
50,Srta. Lívia Almeida,47,Feminino,danielapereira@araujo.br,Moçambique,2024-09-26,Vestido,Roupas,4,805.31,Boleto,1,Sim
51,Raul da Cruz,67,Feminino,alvesmaria-fernanda@freitas.com,Argentina,2024-06-26,Vestido,Roupas,1,1119.24,Cartão de Crédito,4,Sim
52,Noah Vieira,69,Feminino,camposjoao-vitor@costela.com,Moçambique,2024-02-21,Geladeira,Casa,4,1229.18,Débito,5,Não
53,João Vitor Costa,28,Outro,luna44@gmail.com,Angola,2023-06-28,Autoajuda,Livros,2,1681.33,PIX,5,Não
54,Paulo Ferreira,58,Masculino,urezende@yahoo.com.br,Portugal,2024-06-23,Romance,Livros,3,476.64,PIX,3,Sim
55,Yuri Ramos,26,Masculino,davidas-neves@mendes.br,Argentina,2024-06-04,Suspense,Livros,2,137.82,Débito,3,Não
56,Lucas Gabriel Dias,44,Masculino,ana-beatriz56@gmail.com,Argentina,2023-08-28,Fantasia,Livros,5,1892.66,Cartão de Crédito,5,Não
57,Renan Fogaça,48,Masculino,monteirofelipe@lima.br,Portugal,2023-07-04,Chocolate,Alimentos,4,1081.06,Boleto,4,Sim
58,Sra. Marcela Pinto,35,Feminino,ucosta@cardoso.net,Angola,2025-01-25,Fone de Ouvido,Eletrônicos,3,1341.06,Débito,2,Não
59,Isabella Aragão,26,Outro,dda-conceicao@bol.com.br,Moçambique,2025-01-14,Fone de Ouvido,Eletrônicos,5,1133.14,Cartão de Crédito,1,Não
60,Maria Cecília Cardoso,26,Feminino,diasmaria@yahoo.com.br,Argentina,2024-05-03,Tablet,Eletrônicos,4,661.43,Débito,3,Não
61,Ana Carolina Souza,66,Feminino,uda-mota@hotmail.com,Portugal,2024-06-26,Autoajuda,Livros,1,945.91,Cartão de Crédito,3,Sim
62,Pedro Lucas Cunha,59,Masculino,maria-julia60@da.net,Brasil,2024-08-19,Notebook,Eletrônicos,2,1680.07,Boleto,2,Sim
63,Nicole Campos,48,Outro,evelyn46@fernandes.com,Brasil,2023-09-30,Sofá,Casa,4,1401.94,PIX,2,Sim
64,Sarah Fernandes,67,Masculino,luiz-gustavocunha@yahoo.com.br,Portugal,2023-04-11,Smartphone,Eletrônicos,3,1155.84,Débito,4,Sim
65,Francisco Teixeira,22,Outro,knogueira@gmail.com,Argentina,2024-01-13,Tablet,Eletrônicos,5,1613.0,Cartão de Crédito,3,Não
66,Bryan da Conceição,60,Feminino,ianduarte@azevedo.net,Brasil,2024-02-17,Geladeira,Casa,1,1700.66,Débito,1,Não
67,Dra. Melissa da Mata,41,Outro,otavio34@gmail.com,Angola,2023-10-08,Vestido,Roupas,2,1470.25,PIX,5,Não
68,Marcelo Barbosa,47,Feminino,otaviomelo@yahoo.com.br,Moçambique,2024-09-10,Macarrão,Alimentos,2,1663.15,Cartão de Crédito,3,Não
69,Manuela Barros,33,Feminino,maria-clara81@costa.br,Moçambique,2024-04-21,Fogão,Casa,3,67.11,PIX,2,Não
70,Davi Luiz da Rosa,31,Feminino,ada-rocha@uol.com.br,Portugal,2024-08-12,Macarrão,Alimentos,5,1405.36,PIX,5,Sim
71,Maitê Rodrigues,51,Masculino,vitor-gabriel83@uol.com.br,Brasil,2024-06-11,Vestido,Roupas,4,1114.8,Boleto,4,Não
